🇨🇳｜央视频道,#genre#
CCTV-1 综合,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV-1 综合,http://39.134.32.108:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV-1 综合,http://39.134.32.101:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV-1 综合,http://111.20.33.70/PLTV/88888893/224/3221226010/index.m3u8
CCTV-1 综合,http://39.134.67.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1 综合,http://222.175.159.226:808/hls/1/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV-1 综合,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1 综合,http://117.169.120.244:8080/wh7f454c46tw2520989601_203106496/hwrr.jx.chinamobile.com/PLTV/88888910/224/3221225618/index.m3u8?icpid=88888910&RTS=1648965019&from=79102&ocs=2_117.169.120.241_8080&hms_devid=1402&online=1648965019&vqe=3
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1 综合,http://117.169.120.242:8080/wh7f454c46tw1490432856_1716888660/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8?icpid=88888888&RTS=1663085841&from=79102&ocs=2_117.169.120.136_8080&hms_devid=1403&online=1663085841&vqe=3
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8

CCTV-2 财经,http://39.134.32.103:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV-2 财经,http://39.134.32.108:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV-2 财经,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-2 财经,http://39.134.32.102:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV-2 财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2 财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2 财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2 财经,http://222.175.159.226:808/hls/2/index.m3u8
CCTV-2 财经,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV-2 财经,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2 财经,http://183.196.25.171:808/hls/2/index.m3u8
CCTV-2 财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8?icpid=88888888&from=30&hms_devid=1452
CCTV-2 财经,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2 财经,http://39.134.116.30:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2 财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2 财经,http://39.135.138.58:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2 财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8?icpid=88888888&from=30&hms_devid=1452
CCTV-2 财经,http://111.59.189.40:8445/tsfile/live/1001_1.m3u8
CCTV-2 财经,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV-2 财经,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2 财经,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225643/index.m3u8

CCTV-3 综艺,http://111.20.33.70/PLTV/88888893/224/3221226397/index.m3u8
CCTV-3 综艺,http://39.134.67.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综艺,http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8
CCTV-3 综艺,http://39.135.138.60:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3 综艺,http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8
CCTV-3 综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV-3 综艺,http://111.59.189.40:8445/tsfile/live/1002_1.m3u8
CCTV-3 综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3 综艺,http://39.135.138.58:18890/PLTV/88888910/224/3221225647/index.m3u8codeyj
CCTV-3 综艺,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3 综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV-3 综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3 综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8

CCTV-4 中文国际,http://111.20.33.70/PLTV/88888893/224/3221226223/index.m3u8
CCTV-4 中文国际,http://111.20.33.70/TVOD/88888893/224/3221226223/index.m3u8
CCTV-4 中文国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV-4 中文国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 中文国际,http://39.135.138.59:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV-4 中文国际,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV-4 中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8?icpid=88888888&from=30&hms_devid=1452
CCTV-4 中文国际,http://183.196.25.171:808/hls/4/index.m3u8
CCTV-4 中文国际,http://182.151.211.171:808/hls/4/index.m3u8
CCTV-4 中文国际,http://111.59.189.40:8445/tsfile/live/1003_1.m3u8
CCTV-4 中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 中文国际,http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8?
CCTV-4 中文国际,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 中文国际,http://39.135.138.58:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4 中文国际,http://222.240.82.92:9901/tsfile/live/0004_1.m3u8

CCTV-4K 超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-4K 超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd
CCTV-4K 超高清,http://open.live-web.timetv.cn/live03/cctv4k.m3u8

CCTV-5 体育,http://39.134.32.102:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
CCTV-5 体育,http://39.134.32.108:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
CCTV-5 体育,http://39.134.67.110/PLTV/88888888/224/3221225818/index.m3u8
